,Unnamed: 0,location_id,location,country_code,latitude,longitude,country,ISO3-DigitAlphaCountryCode,No of Depictions,No of Shoots Used,Depictions_1960,Shooting_1960,Depictions_1970,Shooting_1970,Depictions_1980,Shooting_1980,Depictions_1990,Shooting_1990,Depictions_2000,Shooting_2000,Depictions_2010,Shooting_2010
0,0,0,United Kingdom,GB,55.378051,-3.435973,United Kingdom,GBR,23,22,5,5,5,5,5,4,3,3,3,3,2,2
1,1,1,Turkey,TR,38.963745,35.243322,Turkey,TUR,3,3,1,1,0,0,0,0,1,1,0,0,1,1
2,2,2,Croatia,HR,45.1,15.2,Croatia,HRV,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3,3,3,Serbia,RS,44.016521,21.005859,Serbia,SRB,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,4,4,Italy,IT,41.87194,12.56738,Italy,ITA,7,8,1,1,2,2,1,2,0,0,2,2,1,1
5,5,5,United States,US,37.09024,-95.712891,United States,USA,10,9,3,2,3,3,2,2,1,0,1,2,0,0
6,6,6,Switzerland,CH,46.818188,8.227512,Switzerland,CHE,2,6,2,3,0,1,0,1,0,1,0,0,0,0
7,7,7,France,FR,46.227638,2.213749,France,FRA,4,7,1,1,1,2,1,1,1,3,0,0,0,0
8,8,8,Bahamas,BS,25.03428,-77.39628,Bahamas,BHS,3,3,1,1,0,1,1,0,0,0,1,1,0,0
9,9,9,Russia,RU,61.52401,105.318756,Russia,RUS,9,1,1,0,2,0,3,0,2,1,1,0,0,0
10,10,10,Kazakhstan,KZ,48.019573,66.923684,Kazakhstan,KAZ,2,0,1,0,0,0,0,0,1,0,0,0,0,0
11,11,11,Norway,NO,60.472024,8.468946,Norway,NOR,1,2,1,1,0,0,0,0,0,0,0,1,0,0
12,12,12,Japan,JP,36.204824,138.252924,Japan,JPN,3,2,1,1,1,1,0,0,0,0,0,0,1,0
13,13,13,Portugal,PT,39.399872,-8.224454,Portugal,PRT,2,2,1,1,1,1,0,0,0,0,0,0,0,0
14,14,14,Egypt,EG,26.820553,30.802498,Egypt,EGY,2,1,0,0,2,1,0,0,0,0,0,0,0,0
15,15,15,South Africa,ZA,-30.559482,22.937506,South Africa,ZAF,1,0,0,0,1,0,0,0,0,0,0,0,0,0
16,16,16,Netherlands,NL,52.132633,5.291266,Netherlands,NLD,1,1,0,0,1,1,0,0,0,0,0,0,0,0
17,17,17,Mexico,MX,23.634501,-102.552784,Mexico,MEX,2,3,0,0,1,0,0,1,0,0,0,1,1,1
18,18,18,Jamaica,JM,18.109581,-77.297508,Jamaica,JAM,2,2,1,1,1,1,0,0,0,0,0,0,0,0
19,19,19,Lebanon,LB,33.854721,35.862285,Lebanon,LBN,1,0,0,0,1,0,0,0,0,0,0,0,0,0
20,20,20,Thailand,TH,15.870032,100.992541,Thailand,THA,1,2,0,0,1,1,0,0,0,1,0,0,0,0
21,21,21,Austria,AT,47.516231,14.550072,Austria,AUT,4,3,0,0,1,0,1,1,0,0,1,1,1,1
22,22,22,Brazil,BR,-14.235004,-51.92528,Brazil,BRA,1,1,0,0,1,1,0,0,0,0,0,0,0,0
23,23,23,Spain,ES,40.463667,-3.74922,Spain,ESP,2,4,0,1,0,0,1,0,1,1,0,2,0,0
24,24,24,Greece,GR,39.074208,21.824312,Greece,GRC,1,1,0,0,0,0,1,1,0,0,0,0,0,0
25,25,25,Albania,AL,41.153332,20.168331,Albania,ALB,1,0,0,0,0,0,1,0,0,0,0,0,0,0
26,26,26,India,IN,20.593684,78.96288,India,IND,1,1,0,0,0,0,1,1,0,0,0,0,0,0
27,27,27,Germany,DE,51.165691,10.451526,Germany,DEU,2,4,0,0,0,1,1,2,1,1,0,0,0,0
28,28,28,Gibraltar,GI,36.137741,-5.345374,Gibraltar,GIB,1,0,0,0,0,0,1,0,0,0,0,0,0,0
29,29,29,Slovakia,SK,48.669026,19.699024,Slovakia,SVK,1,0,0,0,0,0,1,0,0,0,0,0,0,0
30,30,30,Morocco,MA,31.791702,-7.09262,Morocco,MAR,2,2,0,0,0,0,1,1,0,0,0,0,1,1
31,31,31,Afghanistan,AF,33.93911,67.709953,Afghanistan,AFG,1,0,0,0,0,0,1,0,0,0,0,0,0,0
32,32,32,Pakistan,PK,30.375321,69.345116,Pakistan,PAK,2,0,0,0,0,0,1,0,0,0,1,0,0,0
33,33,33,Monaco,MC,43.750298,7.412841,Monaco,MCO,1,1,0,0,0,0,0,0,1,1,0,0,0,0
34,34,35,Cuba,CU,21.521757,-77.781167,Cuba,CUB,2,0,0,0,0,0,0,0,1,0,1,0,0,0
35,35,36,Vietnam,VN,14.058324,108.277199,Vietnam,VNM,1,0,0,0,0,0,0,0,1,0,0,0,0,0
36,36,38,Azerbaijan,AZ,40.143105,47.576927,Azerbaijan,AZE,1,1,0,0,0,0,0,0,1,1,0,0,0,0
37,37,39,North Korea,KP,40.339852,127.510093,North Korea,PRK,1,0,0,0,0,0,0,0,1,0,0,0,0,0
38,38,40,South Korea,KR,35.907757,127.766922,South Korea,KOR,2,0,0,0,0,0,0,0,1,0,1,0,0,0
39,39,41,Hong Kong,HK,22.396428,114.109497,Hong Kong,HKG,1,1,0,0,0,1,0,0,0,0,1,0,0,0
40,40,43,Iceland,IS,64.963051,-19.020835,Iceland,ISL,1,2,0,0,0,0,0,1,0,0,1,1,0,0
41,41,44,Czech Republic,CZ,49.817492,15.472962,Czech Republic,CZE,1,1,0,0,0,0,0,0,0,0,1,1,0,0
42,42,45,Uganda,UG,1.373333,32.290275,Uganda,UGA,1,0,0,0,0,0,0,0,0,0,1,0,0,0
43,43,46,Madagascar,MG,-18.766947,46.869107,Madagascar,MDG,1,0,0,0,0,0,0,0,0,0,1,0,0,0
44,44,47,Montenegro,ME,42.708678,19.37439,Montenegro,MNE,1,0,0,0,0,0,0,0,0,0,1,0,0,0
45,45,48,Haiti,HT,18.971187,-72.285215,Haiti,HTI,1,0,0,0,0,0,0,0,0,0,1,0,0,0
46,46,49,Bolivia,BO,-16.290154,-63.588653,Bolivia,BOL,1,0,0,0,0,0,0,0,0,0,1,0,0,0
47,47,50,China,CN,35.86166,104.195397,China,CHN,1,1,0,0,0,0,0,0,0,0,0,0,1,1
48,48,51,Macau,MO,22.198745,113.543873,Macau,MAC,1,0,0,0,0,0,0,0,0,0,0,0,1,0
49,49,52,Vatican City,VA,41.902916,12.453389,Vatican City,VAT,1,1,0,0,0,0,0,0,0,0,0,0,1,1
50,50,53,Canada,CA,56.130366,-106.346771,Canada,CAN,0,1,0,0,0,1,0,0,0,0,0,0,0,0
51,51,54,Malta,MT,35.937496,14.375416,Malta,MLT,0,2,0,0,0,1,0,1,0,0,0,0,0,0
52,52,55,Guatemala,GT,15.783471,-90.230759,Guatemala,GTM,0,1,0,0,0,1,0,0,0,0,0,0,0,0
53,53,56,Puerto Rico,PR,18.220833,-66.590149,Puerto Rico,PRI,0,1,0,0,0,0,0,0,0,1,0,0,0,0
54,54,58,Panama,PA,8.537981,-80.782127,Panama,PAN,0,1,0,0,0,0,0,0,0,0,0,1,0,0
55,55,59,Chile,CL,-35.675147,-71.542969,Chile,CHL,0,1,0,0,0,0,0,0,0,0,0,1,0,0
